date time bpm confidence
11/19/23 08:30:26 70 0
11/19/23 16:05:09 70 0
11/19/23 16:05:24 70 0
11/19/23 16:05:34 70 1
11/19/23 16:05:49 70 1
11/19/23 16:05:54 72 1
11/19/23 16:05:59 74 1
11/19/23 16:06:04 73 1
11/19/23 16:06:09 75 1
11/19/23 16:06:14 76 1
11/19/23 16:06:24 76 2
11/19/23 16:06:29 75 2
11/19/23 16:06:39 76 2
11/19/23 16:06:44 77 2
11/19/23 16:06:59 77 2
11/19/23 16:07:09 78 2
11/19/23 16:07:19 79 2
11/19/23 16:07:24 80 2
11/19/23 16:07:34 79 2
11/19/23 16:07:44 80 2
11/19/23 16:07:49 82 2
11/19/23 16:07:54 83 2
11/19/23 16:07:59 89 2
11/19/23 16:08:04 90 2
11/19/23 16:08:19 87 2
11/19/23 16:08:24 86 2
11/19/23 16:08:29 85 2
11/19/23 16:08:34 84 2
11/19/23 16:08:39 84 2
11/19/23 16:08:44 85 2
11/19/23 16:08:49 84 2
11/19/23 16:08:54 83 2
11/19/23 16:09:09 82 2
11/19/23 16:09:19 83 2
11/19/23 16:09:24 81 2
11/19/23 16:09:29 80 2
11/19/23 16:09:39 79 2
11/19/23 16:09:44 78 2
11/19/23 16:09:49 79 2
11/19/23 16:09:59 80 2
11/19/23 16:10:04 81 2
11/19/23 16:10:14 82 2
11/19/23 16:10:19 83 2
11/19/23 16:10:29 81 2
11/19/23 16:10:39 80 2
11/19/23 16:10:54 83 2
11/19/23 16:10:59 85 2
11/19/23 16:11:04 84 2
11/19/23 16:11:19 85 2
11/19/23 16:11:34 83 2
11/19/23 16:11:49 85 2
11/19/23 16:12:04 86 2
11/19/23 16:12:14 88 2
11/19/23 16:12:19 91 2
11/19/23 16:12:24 95 2
11/19/23 16:12:29 98 2
11/19/23 16:12:39 97 2
11/19/23 16:12:44 92 2
11/19/23 16:12:49 88 2
11/19/23 16:12:59 89 2
11/19/23 16:13:07 90 2
11/19/23 16:13:12 93 2
11/19/23 16:13:17 94 2
11/19/23 16:13:22 92 2
