"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Outdoor Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2021-12-31T23:55:00-08:00,2021-12-31 23:55:00,21.2,21.2,20,0.9,1.1,8.1,29,0,0,0.02,0.02,5.58,77.67,30.94,95,0,0,75.2,26,29.66,1,73.6,37.9
2021-12-31T23:50:00-08:00,2021-12-31 23:50:00,21.4,21.4,20.2,0.7,1.1,8.1,32,0,0,0.02,0.02,5.58,77.67,30.93,95,0,0,75.6,26,29.66,1,74.1,38.3
2021-12-31T23:45:00-08:00,2021-12-31 23:45:00,21.4,21.4,19.9,1.1,1.1,8.1,22,0,0,0.02,0.02,5.58,77.67,30.94,94,0,0,75.4,26,29.66,1,73.9,38.1
2021-12-31T23:40:00-08:00,2021-12-31 23:40:00,21.4,21.4,19.9,0,0,8.1,28,0,0,0.02,0.02,5.58,77.67,30.93,94,0,0,75.4,26,29.66,1,73.9,38.1
2021-12-31T23:35:00-08:00,2021-12-31 23:35:00,21.4,21.4,19.9,0,0,8.1,28,0,0,0.02,0.02,5.58,77.67,30.93,94,0,0,75.2,26,29.66,1,73.6,37.9
2021-12-31T23:30:00-08:00,2021-12-31 23:30:00,21.6,21.6,19.9,0.7,1.1,8.1,23,0,0,0.02,0.02,5.58,77.67,30.94,93,0,0,75.4,26,29.66,1,73.9,38.1
2021-12-31T23:25:00-08:00,2021-12-31 23:25:00,21.7,21.7,20,1.1,1.1,8.1,23,0,0,0.02,0.02,5.58,77.67,30.95,93,0,0,75.4,26,29.67,1,73.9,38.1
2021-12-31T23:20:00-08:00,2021-12-31 23:20:00,21.9,21.9,19.9,0.2,1.1,8.1,33,0,0,0.02,0.02,5.58,77.67,30.94,92,0,0,75.6,26,29.67,1,74.1,38.3
2021-12-31T23:15:00-08:00,2021-12-31 23:15:00,22.1,22.1,19.9,0.2,1.1,8.1,36,0,0,0.02,0.02,5.58,77.67,30.94,91,0,0,75.4,26,29.66,1,73.9,38.1
2021-12-31T23:10:00-08:00,2021-12-31 23:10:00,22.1,22.1,19.6,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.93,90,0,0,75.4,26,29.66,1,73.9,38.1
2021-12-31T23:05:00-08:00,2021-12-31 23:05:00,22.1,22.1,19.4,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.93,89,0,0,75.4,26,29.66,1,73.9,38.1
2021-12-31T23:00:00-08:00,2021-12-31 23:00:00,21.9,21.9,19.4,0.7,1.1,8.1,36,0,0,0.02,0.02,5.58,77.67,30.93,90,0,0,75.4,26,29.66,1,73.9,38.1
2021-12-31T22:55:00-08:00,2021-12-31 22:55:00,21.7,21.7,19,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.93,89,0,0,75.6,26,29.65,1,74.1,38.3
2021-12-31T22:50:00-08:00,2021-12-31 22:50:00,21.7,21.7,19,0.2,1.1,8.1,35,0,0,0.02,0.02,5.58,77.67,30.93,89,0,0,75.4,26,29.65,1,73.9,38.1
2021-12-31T22:45:00-08:00,2021-12-31 22:45:00,21.7,21.7,19,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.93,89,0,0,75.4,26,29.65,1,73.9,38.1
2021-12-31T22:40:00-08:00,2021-12-31 22:40:00,21.9,21.9,19.2,0.7,1.1,8.1,35,0,0,0.02,0.02,5.58,77.67,30.93,89,0,0,75.6,26,29.65,1,74.1,38.3
2021-12-31T22:35:00-08:00,2021-12-31 22:35:00,21.7,21.7,18.7,0,0,8.1,32,0,0,0.02,0.02,5.58,77.67,30.92,88,0,0,75.4,26,29.65,1,73.9,38.1
2021-12-31T22:30:00-08:00,2021-12-31 22:30:00,22.1,22.1,19.1,0.2,1.1,8.1,33,0,0,0.02,0.02,5.58,77.67,30.92,88,0,0,75.6,26,29.65,1,74.1,38.3
2021-12-31T22:25:00-08:00,2021-12-31 22:25:00,22.1,22.1,19.4,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.92,89,0,0,75.6,26,29.64,1,74.1,38.3
2021-12-31T22:20:00-08:00,2021-12-31 22:20:00,21.9,21.9,19.2,0.4,1.1,8.1,30,0,0,0.02,0.02,5.58,77.67,30.92,89,0,0,75.7,26,29.64,1,74.2,38.4
2021-12-31T22:15:00-08:00,2021-12-31 22:15:00,21.9,21.9,19.4,0,0,8.1,29,0,0,0.02,0.02,5.58,77.67,30.91,90,0,0,75.7,26,29.63,1,74.2,38.4
2021-12-31T22:10:00-08:00,2021-12-31 22:10:00,22.1,22.1,19.6,0,0,8.1,29,0,0,0.02,0.02,5.58,77.67,30.91,90,0,0,75.9,26,29.63,1,74.4,38.5
2021-12-31T22:05:00-08:00,2021-12-31 22:05:00,21.9,21.9,19.4,0,0,8.1,29,0,0,0.02,0.02,5.58,77.67,30.91,90,0,0,76.1,26,29.63,1,74.6,38.7
2021-12-31T22:00:00-08:00,2021-12-31 22:00:00,21.6,21.6,19.4,0,0,8.1,29,0,0,0.02,0.02,5.58,77.67,30.91,91,0,0,75.9,26,29.63,1,74.4,38.5
2021-12-31T21:55:00-08:00,2021-12-31 21:55:00,21.6,21.6,19.4,0.7,1.1,8.1,28,0,0,0.02,0.02,5.58,77.67,30.91,91,0,0,75.9,26,29.64,1,74.4,38.5
2021-12-31T21:50:00-08:00,2021-12-31 21:50:00,21.6,21.6,19.4,0,0,8.1,29,0,0,0.02,0.02,5.58,77.67,30.91,91,0,0,76.3,26,29.63,1,74.9,38.9
2021-12-31T21:45:00-08:00,2021-12-31 21:45:00,21.6,21.6,19.4,0.2,1.1,8.1,25,0,0,0.02,0.02,5.58,77.67,30.91,91,0,0,76.1,26,29.63,1,74.6,38.7
2021-12-31T21:40:00-08:00,2021-12-31 21:40:00,21.4,21.4,19.2,0,0,8.1,25,0,0,0.02,0.02,5.58,77.67,30.91,91,0,0,76.3,26,29.63,1,74.9,38.9
2021-12-31T21:35:00-08:00,2021-12-31 21:35:00,21.4,21.4,18.9,0.7,1.1,8.1,6,0,0,0.02,0.02,5.58,77.67,30.91,90,0,0,76.5,26,29.63,1,75.1,39
2021-12-31T21:30:00-08:00,2021-12-31 21:30:00,21.9,21.9,19.4,0,0,8.1,34,0,0,0.02,0.02,5.58,77.67,30.9,90,0,0,76.6,26,29.63,1,75.2,39.1
2021-12-31T21:25:00-08:00,2021-12-31 21:25:00,21.7,21.7,19.2,1.3,2.2,8.1,36,0,0,0.02,0.02,5.58,77.67,30.9,90,0,0,76.8,26,29.63,1,75.4,39.3
2021-12-31T21:20:00-08:00,2021-12-31 21:20:00,21.7,21.7,19,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.9,89,0,0,76.6,27,29.63,1,75.2,40.1
2021-12-31T21:15:00-08:00,2021-12-31 21:15:00,21.9,21.9,19.2,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.9,89,0,0,77,27,29.63,1,75.7,40.4
2021-12-31T21:10:00-08:00,2021-12-31 21:10:00,21.7,21.7,19,0,0,8.1,36,0,0,0.02,0.02,5.58,77.67,30.9,89,0,0,77,27,29.63,1,75.7,40.4
2021-12-31T21:05:00-08:00,2021-12-31 21:05:00,21.7,21.7,18.7,0.9,1.1,8.1,40,0,0,0.02,0.02,5.58,77.67,30.9,88,0,0,77.2,27,29.63,1,75.9,40.6
2021-12-31T21:00:00-08:00,2021-12-31 21:00:00,21.9,21.9,18.9,0,0,8.1,41,0,0,0.02,0.02,5.58,77.67,30.91,88,0,0,77.2,27,29.63,1,75.9,40.6
2021-12-31T20:55:00-08:00,2021-12-31 20:55:00,21.7,21.7,18.7,0,0,8.1,33,0,0,0.02,0.02,5.58,77.67,30.9,88,0,0,77.4,27,29.63,1,76.1,40.8
2021-12-31T20:50:00-08:00,2021-12-31 20:50:00,21.9,21.9,18.9,1.1,1.1,8.1,28,0,0,0.02,0.02,5.58,77.67,30.9,88,0,0,77.5,27,29.62,1,76.2,40.9
2021-12-31T20:45:00-08:00,2021-12-31 20:45:00,21.7,21.7,18.4,0.7,1.1,8.1,28,0,0,0.02,0.02,5.58,77.67,30.9,87,0,0,77.4,27,29.63,1,76.1,40.8
2021-12-31T20:40:00-08:00,2021-12-31 20:40:00,21.9,21.9,18.6,1.3,2.2,8.1,28,0,0,0.02,0.02,5.58,77.67,30.9,87,0,0,77.4,27,29.63,1,76.1,40.8
2021-12-31T20:35:00-08:00,2021-12-31 20:35:00,22.5,22.5,19,0.7,1.1,8.1,21,0,0,0.02,0.02,5.58,77.67,30.9,86,0,0,77.7,27,29.63,1,76.4,41
2021-12-31T20:30:00-08:00,2021-12-31 20:30:00,22.5,22.5,19,1.6,2.2,8.1,21,0,0,0.02,0.02,5.58,77.67,30.9,86,0,0,77.9,27,29.63,1,76.7,41.2
2021-12-31T20:25:00-08:00,2021-12-31 20:25:00,22.3,22.3,18.8,1.1,1.1,8.1,36,0,0,0.02,0.02,5.58,77.67,30.91,86,0,0,77.9,27,29.63,1,76.7,41.2
2021-12-31T20:20:00-08:00,2021-12-31 20:20:00,22.5,22.5,18.7,0,0,8.1,37,0,0,0.02,0.02,5.58,77.67,30.91,85,0,0,78.1,27,29.63,1,76.9,41.4
2021-12-31T20:15:00-08:00,2021-12-31 20:15:00,22.6,22.6,18.8,0,0,8.1,37,0,0,0.02,0.02,5.58,77.67,30.9,85,0,0,78.3,27,29.62,1,77.1,41.5
2021-12-31T20:10:00-08:00,2021-12-31 20:10:00,22.5,22.5,18.7,0.2,1.1,8.1,36,0,0,0.02,0.02,5.58,77.67,30.9,85,0,0,78.4,27,29.62,1,77.2,41.6
2021-12-31T20:05:00-08:00,2021-12-31 20:05:00,22.5,22.5,18.4,0.2,1.1,8.1,36,0,0,0.02,0.02,5.58,77.67,30.89,84,0,0,78.4,27,29.62,1,77.2,41.6
2021-12-31T20:00:00-08:00,2021-12-31 20:00:00,22.6,22.6,18.2,0.4,1.1,8.1,36,0,0,0.02,0.02,5.58,77.67,30.89,83,0,0,78.4,27,29.61,1,77.2,41.6
2021-12-31T19:55:00-08:00,2021-12-31 19:55:00,22.5,22.5,18.4,0,0,8.1,37,0,0,0.02,0.02,5.58,77.67,30.89,84,0,0,78.3,27,29.62,1,77.1,41.5
2021-12-31T19:50:00-08:00,2021-12-31 19:50:00,22.6,22.6,18.5,0.7,1.1,8.1,35,0,0,0.02,0.02,5.58,77.67,30.89,84,0,0,78.4,27,29.62,1,77.2,41.6
2021-12-31T19:45:00-08:00,2021-12-31 19:45:00,23,23,18.3,0,0,8.1,37,0,0,0.02,0.02,5.58,77.67,30.89,82,0,0,78.4,28,29.61,1,77.3,42.6
2021-12-31T19:40:00-08:00,2021-12-31 19:40:00,23.2,23.2,18.5,0,0,8.1,37,0,0,0.02,0.02,5.58,77.67,30.9,82,0,0,78.6,28,29.62,1,77.5,42.7
2021-12-31T19:35:00-08:00,2021-12-31 19:35:00,23.2,23.2,18.5,0,0,8.1,37,0,0,0.02,0.02,5.58,77.67,30.88,82,0,0,78.3,28,29.61,1,77.1,42.5
2021-12-31T19:30:00-08:00,2021-12-31 19:30:00,23.2,23.2,18.3,0,0,8.1,37,0,0,0.02,0.02,5.58,77.67,30.89,81,0,0,78.4,28,29.61,1,77.3,42.6
2021-12-31T19:25:00-08:00,2021-12-31 19:25:00,23.2,23.2,18,0,0,8.1,45,0,0,0.02,0.02,5.58,77.67,30.89,80,0,0,78.3,28,29.61,1,77.1,42.5
2021-12-31T19:20:00-08:00,2021-12-31 19:20:00,23.2,23.2,18,0,0,8.1,45,0,0,0.02,0.02,5.58,77.67,30.89,80,0,0,77.9,28,29.61,1,76.7,42.2
2021-12-31T19:15:00-08:00,2021-12-31 19:15:00,23,23,17.8,0,0,8.1,43,0,0,0.02,0.02,5.58,77.67,30.89,80,0,0,77.7,28,29.62,1,76.5,42
