Date,Outdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Event Rain,Daily Rain,Weekly Rain,Monthly Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation,Indoor Temperature,Indoor Humidity,Absolute Pressure,Outdoor Battery,Indoor Feels Like,Indoor Dew Point
2022-01-31T23:55:00-08:00,38.1,38.1,36,0,0,9.2,313,0,0,0.03,0.57,5.15,82.81,31.07,92,0,0,74.3,33,29.8,1,73,43.3
2022-01-31T23:50:00-08:00,38.1,38.1,35.7,0,0,9.2,306,0,0,0.03,0.57,5.15,82.81,31.07,91,0,0,74.3,33,29.79,1,73,43.3
2022-01-31T23:45:00-08:00,38.3,38.3,35.9,0.9,1.1,9.2,324,0,0,0.03,0.57,5.15,82.81,31.06,91,0,0,74.5,33,29.79,1,73.2,43.5
2022-01-31T23:40:00-08:00,38.5,38.5,35.8,0.7,1.1,9.2,293,0,0,0.03,0.57,5.15,82.81,31.07,90,0,0,74.5,33,29.8,1,73.2,43.5
2022-01-31T23:35:00-08:00,38.5,38.5,35.8,2.5,3.4,9.2,210,0,0,0.03,0.57,5.15,82.81,31.06,90,0,0,74.3,33,29.79,1,73,43.3
2022-01-31T23:30:00-08:00,38.7,38.7,35.7,0.9,1.1,9.2,258,0,0,0.03,0.57,5.15,82.81,31.06,89,0,0,74.5,33,29.79,1,73.2,43.5
2022-01-31T23:25:00-08:00,38.5,38.5,35.5,0,0,9.2,315,0,0,0.03,0.57,5.15,82.81,31.07,89,0,0,74.3,33,29.79,1,73,43.3
2022-01-31T23:20:00-08:00,38.7,38.7,35.5,0,0,9.2,315,0,0,0.03,0.57,5.15,82.81,31.07,88,0,0,74.5,33,29.79,1,73.2,43.5
2022-01-31T23:15:00-08:00,38.5,38.5,35.5,2.7,3.4,9.2,250,0,0,0.03,0.57,5.15,82.81,31.06,89,0,0,74.7,33,29.78,1,73.4,43.7
2022-01-31T23:10:00-08:00,38.3,38.3,35.6,0.7,1.1,9.2,292,0,0,0.03,0.57,5.15,82.81,31.06,90,0,0,74.5,33,29.79,1,73.2,43.5
2022-01-31T23:05:00-08:00,38.3,38.3,35.6,0.2,1.1,9.2,305,0,0,0.03,0.57,5.15,82.81,31.06,90,0,0,74.7,33,29.78,1,73.4,43.7
2022-01-31T23:00:00-08:00,38.1,38.1,35.7,1.6,2.2,9.2,235,0,0,0.03,0.57,5.15,82.81,31.06,91,0,0,74.8,33,29.78,1,73.5,43.8
2022-01-31T22:55:00-08:00,37.6,37.6,35.8,0.2,1.1,9.2,63,0,0.59,0.03,0.57,5.15,82.81,31.06,93,0,0,74.8,33,29.79,1,73.5,43.8
2022-01-31T22:50:00-08:00,37.4,37.4,36.1,0.7,1.1,9.2,69,0,0.59,0.03,0.57,5.15,82.81,31.05,95,0,0,74.8,33,29.78,1,73.5,43.8
2022-01-31T22:45:00-08:00,37.2,37.2,36.2,0.7,1.1,9.2,69,0,0.59,0.03,0.57,5.15,82.81,31.06,96,0,0,74.8,33,29.79,1,73.5,43.8
2022-01-31T22:40:00-08:00,37,37,36,0,0,9.2,69,0,0.59,0.03,0.57,5.15,82.81,31.06,96,0,0,74.8,33,29.78,1,73.5,43.8
2022-01-31T22:35:00-08:00,36.9,36.9,35.9,0.9,1.1,9.2,69,0,0.59,0.03,0.57,5.15,82.81,31.05,96,0,0,75,33,29.78,1,73.8,43.9
