Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Absolute Pressure (inHg),Outdoor Battery,Indoor Feels Like (°F),Indoor Dew Point (°F)
2022-07-31T23:55:00-07:00,2022-07-31 23:55:00,65.7,65.7,57.6,1.1,2.2,10.3,31,0,0,0,0,0.27,105.08,30.64,75,0,0,79,45,29.36,1,78.7,55.8
2022-07-31T23:50:00-07:00,2022-07-31 23:50:00,65.8,65.8,57.6,0.9,1.1,10.3,107,0,0,0,0,0.27,105.08,30.63,75,0,0,79,45,29.36,1,78.7,55.8
2022-07-31T23:45:00-07:00,2022-07-31 23:45:00,66,66,57.8,1.8,2.2,10.3,82,0,0,0,0,0.27,105.08,30.63,75,0,0,79,45,29.35,1,78.7,55.8
2022-07-31T23:40:00-07:00,2022-07-31 23:40:00,66.2,66.2,57.7,1.8,2.2,10.3,66,0,0,0,0,0.27,105.08,30.63,74,0,0,79.3,45,29.36,1,79,56.1
2022-07-31T23:35:00-07:00,2022-07-31 23:35:00,66.2,66.2,57.7,0.9,2.2,10.3,118,0,0,0,0,0.27,105.08,30.63,74,0,0,79.5,45,29.36,1,79.3,56.3
2022-07-31T23:30:00-07:00,2022-07-31 23:30:00,66.2,66.2,57.7,1.3,2.2,10.3,70,0,0,0,0,0.27,105.08,30.64,74,0,0,79.7,45,29.36,1,79.5,56.5
2022-07-31T23:25:00-07:00,2022-07-31 23:25:00,66.2,66.2,57.7,0.2,1.1,10.3,116,0,0,0,0,0.27,105.08,30.64,74,0,0,79.9,45,29.36,1,79.7,56.6
2022-07-31T23:20:00-07:00,2022-07-31 23:20:00,66.6,66.6,58,0.4,1.1,10.3,106,0,0,0,0,0.27,105.08,30.63,74,0,0,79.9,45,29.36,1,79.7,56.6
2022-07-31T23:15:00-07:00,2022-07-31 23:15:00,66.6,66.6,58,0.2,1.1,10.3,54,0,0,0,0,0.27,105.08,30.63,74,0,0,80.2,45,29.35,1,80.5,56.9
2022-07-31T23:10:00-07:00,2022-07-31 23:10:00,66.6,66.6,58,0.7,1.1,10.3,91,0,0,0,0,0.27,105.08,30.64,74,0,0,80.2,45,29.36,1,80.5,56.9
2022-07-31T23:05:00-07:00,2022-07-31 23:05:00,66.7,66.7,58.1,1.1,1.1,10.3,147,0,0,0,0,0.27,105.08,30.64,74,0,0,80.2,45,29.36,1,80.5,56.9
2022-07-31T23:00:00-07:00,2022-07-31 23:00:00,66.9,66.9,58.3,0.9,1.1,10.3,60,0,0,0,0,0.27,105.08,30.64,74,0,0,80.1,45,29.36,1,80.4,56.8
2022-07-31T22:55:00-07:00,2022-07-31 22:55:00,67.3,67.3,58.7,0.7,1.1,10.3,93,0,0,0,0,0.27,105.08,30.63,74,0,0,80.4,45,29.36,1,80.7,57.1
2022-07-31T22:50:00-07:00,2022-07-31 22:50:00,67.5,67.5,58.9,1.3,2.2,10.3,85,0,0,0,0,0.27,105.08,30.63,74,0,0,80.4,45,29.36,1,80.7,57.1
2022-07-31T22:45:00-07:00,2022-07-31 22:45:00,67.6,67.6,59,1.6,2.2,10.3,61,0,0,0,0,0.27,105.08,30.63,74,0,0,80.4,45,29.36,1,80.7,57.1
2022-07-31T22:40:00-07:00,2022-07-31 22:40:00,67.6,67.6,59,1.3,2.2,10.3,60,0,0,0,0,0.27,105.08,30.64,74,0,0,80.4,45,29.36,1,80.7,57.1
2022-07-31T22:35:00-07:00,2022-07-31 22:35:00,67.6,67.6,58.6,2.2,3.4,10.3,136,0,0,0,0,0.27,105.08,30.64,73,0,0,80.6,44,29.36,1,80.7,56.6
2022-07-31T22:30:00-07:00,2022-07-31 22:30:00,67.8,67.8,58.8,1.3,2.2,10.3,79,0,0,0,0,0.27,105.08,30.63,73,0,0,80.8,44,29.35,1,80.9,56.8
2022-07-31T22:25:00-07:00,2022-07-31 22:25:00,67.8,67.8,58.8,1.1,1.1,10.3,59,0,0,0,0,0.27,105.08,30.63,73,0,0,81,44,29.36,1,81.1,57
2022-07-31T22:20:00-07:00,2022-07-31 22:20:00,67.8,67.8,58.8,0.7,1.1,10.3,77,0,0,0,0,0.27,105.08,30.64,73,0,0,81.3,44,29.36,1,81.3,57.3
2022-07-31T22:15:00-07:00,2022-07-31 22:15:00,67.8,67.8,58.8,1.3,2.2,10.3,68,0,0,0,0,0.27,105.08,30.64,73,0,0,81.5,44,29.36,1,81.5,57.5
2022-07-31T22:10:00-07:00,2022-07-31 22:10:00,67.8,67.8,58.8,1.3,2.2,10.3,67,0,0,0,0,0.27,105.08,30.64,73,0,0,81.5,44,29.37,1,81.5,57.5
2022-07-31T22:05:00-07:00,2022-07-31 22:05:00,68,68,59,1.1,1.1,10.3,72,0,0,0,0,0.27,105.08,30.64,73,0,0,81.7,44,29.36,1,81.7,57.6
2022-07-31T22:00:00-07:00,2022-07-31 22:00:00,68,68,59,0.7,1.1,10.3,95,0,0,0,0,0.27,105.08,30.63,73,0,0,81.9,43,29.36,1,81.7,57.2
2022-07-31T21:55:00-07:00,2022-07-31 21:55:00,68.2,68.1,58.8,2.2,2.2,10.3,137,0,0,0,0,0.27,105.08,30.63,72,0,0,82.2,43,29.36,1,82,57.4
2022-07-31T21:50:00-07:00,2022-07-31 21:50:00,68,68,59,1.3,2.2,10.3,126,0,0,0,0,0.27,105.08,30.63,73,0,0,82.4,43,29.36,1,82.2,57.6
2022-07-31T21:45:00-07:00,2022-07-31 21:45:00,68,68,59,1.8,2.2,10.3,61,0,0,0,0,0.27,105.08,30.64,73,0,0,82.6,43,29.36,1,82.4,57.8
2022-07-31T21:40:00-07:00,2022-07-31 21:40:00,68,68,59,1.1,1.1,10.3,84,0,0,0,0,0.27,105.08,30.63,73,0,0,82.8,43,29.35,1,82.6,58
2022-07-31T21:35:00-07:00,2022-07-31 21:35:00,67.8,67.8,59.2,1.8,2.2,10.3,93,0,0,0,0,0.27,105.08,30.63,74,0,0,82.9,43,29.35,1,82.7,58.1
2022-07-31T21:30:00-07:00,2022-07-31 21:30:00,68.4,68.4,59.4,0.9,1.1,10.3,106,0,0,0,0,0.27,105.08,30.63,73,0,0,83.3,43,29.35,1,83.1,58.4
2022-07-31T21:25:00-07:00,2022-07-31 21:25:00,68.7,68.7,59.7,1.3,2.2,10.3,93,0,0,0,0,0.27,105.08,30.63,73,0,0,83.3,43,29.35,1,83.1,58.4
2022-07-31T21:20:00-07:00,2022-07-31 21:20:00,69.4,69.4,59.6,1.1,1.1,10.3,114,0,0,0,0,0.27,105.08,30.62,71,0,0,83.5,43,29.35,1,83.3,58.6
2022-07-31T21:15:00-07:00,2022-07-31 21:15:00,70,70,60.2,0.7,1.1,10.3,129,0,0,0,0,0.27,105.08,30.62,71,0,0,83.8,43,29.35,1,83.6,58.9
2022-07-31T21:10:00-07:00,2022-07-31 21:10:00,70.7,70.8,60.4,1.6,2.2,10.3,91,0,0,0,0,0.27,105.08,30.62,70,0,0,83.8,42,29.34,1,83.4,58.2
2022-07-31T21:05:00-07:00,2022-07-31 21:05:00,71.2,71.2,60.1,0.7,1.1,10.3,89,0,0,0,0,0.27,105.08,30.62,68,0,0,84,42,29.35,1,83.6,58.4
2022-07-31T21:00:00-07:00,2022-07-31 21:00:00,71.6,71.6,60,0.4,1.1,10.3,135,0,0,0,0,0.27,105.08,30.62,67,0,0,84.2,42,29.34,1,83.8,58.6
2022-07-31T20:55:00-07:00,2022-07-31 20:55:00,72.3,72.3,60.3,0.9,1.1,10.3,128,0,0,0,0,0.27,105.08,30.62,66,0,0,84.2,42,29.34,1,83.8,58.6
2022-07-31T20:50:00-07:00,2022-07-31 20:50:00,72.9,72.9,59.6,2.2,2.2,10.3,331,0,0,0,0,0.27,105.08,30.62,63,0,0.4,84.2,41,29.34,1,83.7,57.9
2022-07-31T20:45:00-07:00,2022-07-31 20:45:00,73.4,73.4,59.6,4.5,10.3,10.3,185,0,0,0,0,0.27,105.08,30.62,62,0,2.6,84.6,41,29.35,1,84.1,58.3
2022-07-31T20:40:00-07:00,2022-07-31 20:40:00,73.9,73.9,60,2.2,2.2,10.3,120,0,0,0,0,0.27,105.08,30.62,62,0,3.4,84.9,41,29.34,1,84.4,58.5
2022-07-31T20:35:00-07:00,2022-07-31 20:35:00,74.3,74.3,60,0.2,1.1,10.3,136,0,0,0,0,0.27,105.08,30.62,61,0,5.6,85.1,40,29.34,1,84.4,58
2022-07-31T20:30:00-07:00,2022-07-31 20:30:00,75.4,75.4,59.6,0.9,2.2,10.3,124,0,0,0,0,0.27,105.08,30.62,58,0,7.7,85.3,40,29.34,1,84.7,58.2
2022-07-31T20:25:00-07:00,2022-07-31 20:25:00,76.1,76,59.2,1.8,2.2,10.3,165,0,0,0,0,0.27,105.08,30.62,56,0,10.4,85.6,39,29.34,1,84.8,57.8
2022-07-31T20:20:00-07:00,2022-07-31 20:20:00,76.6,76.5,58.7,5.8,10.3,10.3,126,0,0,0,0,0.27,105.08,30.62,54,0,13.8,86,39,29.34,1,85.2,58.1
2022-07-31T20:15:00-07:00,2022-07-31 20:15:00,77.2,77,57.7,0.9,1.1,9.2,191,0,0,0,0,0.27,105.08,30.62,51,0,16,86,39,29.34,1,85.2,58.1
2022-07-31T20:10:00-07:00,2022-07-31 20:10:00,77.5,77.4,58.5,0.9,1.1,9.2,127,0,0,0,0,0.27,105.08,30.61,52,0,19.9,86.2,40,29.34,1,85.7,59
2022-07-31T20:05:00-07:00,2022-07-31 20:05:00,77.7,77.5,57.6,1.3,2.2,9.2,179,0,0,0,0,0.27,105.08,30.61,50,0,22.5,86.7,40,29.33,1,86.3,59.5
2022-07-31T20:00:00-07:00,2022-07-31 20:00:00,78.3,78.5,61.8,0.2,1.1,9.2,130,0,0,0,0,0.27,105.08,30.61,57,0,25.6,86.7,40,29.34,1,86.3,59.5
2022-07-31T19:55:00-07:00,2022-07-31 19:55:00,79,79.1,60.9,0,0,9.2,153,0,0,0,0,0.27,105.08,30.61,54,0,28.6,86.9,39,29.34,1,86.3,58.9
2022-07-31T19:50:00-07:00,2022-07-31 19:50:00,80.2,81.4,62,0.7,1.1,9.2,80,0,0,0,0,0.27,105.08,30.62,54,0,30.7,87.1,38,29.34,1,86.3,58.4
2022-07-31T19:45:00-07:00,2022-07-31 19:45:00,81.7,82,59.5,0,0,9.2,45,0,0,0,0,0.27,105.08,30.61,47,0,33.4,87.3,38,29.34,1,86.5,58.6
2022-07-31T19:40:00-07:00,2022-07-31 19:40:00,83.1,83.2,59.5,0.4,1.1,9.2,109,0,0,0,0,0.27,105.08,30.61,45,0,42,87.3,37,29.34,1,86.3,57.8
2022-07-31T19:35:00-07:00,2022-07-31 19:35:00,83.5,82.9,57.3,0,0,9.2,201,0,0,0,0,0.27,105.08,30.61,41,0,48.9,87.3,37,29.34,1,86.3,57.8
2022-07-31T19:30:00-07:00,2022-07-31 19:30:00,84.4,84.4,60.1,1.1,1.1,9.2,194,0,0,0,0,0.27,105.08,30.62,44,0,56.8,87.6,37,29.34,1,86.7,58.1
2022-07-31T19:25:00-07:00,2022-07-31 19:25:00,84.9,84.4,58.5,0.7,1.1,9.2,171,0,0,0,0,0.27,105.08,30.62,41,0,72.4,87.4,37,29.34,1,86.4,57.9
2022-07-31T19:20:00-07:00,2022-07-31 19:20:00,85.3,85,59.6,0,0,9.2,229,0,0,0,0,0.27,105.08,30.62,42,0,85.9,87.8,38,29.34,1,87.1,59
2022-07-31T19:15:00-07:00,2022-07-31 19:15:00,85.8,85.4,59.3,2.5,3.4,9.2,183,0,0,0,0,0.27,105.08,30.62,41,0,86.7,87.8,39,29.34,1,87.4,59.7
2022-07-31T19:10:00-07:00,2022-07-31 19:10:00,85.6,85,58.5,0.2,1.1,9.2,230,0,0,0,0,0.27,105.08,30.61,40,1,102.3,88.2,41,29.34,1,88.4,61.5
2022-07-31T19:05:00-07:00,2022-07-31 19:05:00,85.8,85.2,58.7,5.6,8.1,9.2,95,0,0,0,0,0.27,105.08,30.61,40,1,121,88.2,42,29.34,1,88.7,62.2
2022-07-31T19:00:00-07:00,2022-07-31 19:00:00,87.1,88.6,64.4,1.3,2.2,6.9,21,0,0,0,0,0.27,105.08,30.61,47,1,136.7,88.7,43,29.34,1,89.8,63.3
2022-07-31T18:55:00-07:00,2022-07-31 18:55:00,86,86.6,62.2,1.3,2.2,6.9,217,0,0,0,0,0.27,105.08,30.62,45,1,143.1,88.3,43,29.34,1,89.2,62.9
2022-07-31T18:50:00-07:00,2022-07-31 18:50:00,86.4,87.9,64.4,2,3.4,6.9,162,0,0,0,0,0.27,105.08,30.61,48,1,134.4,88.5,43,29.33,1,89.5,63.1
2022-07-31T18:45:00-07:00,2022-07-31 18:45:00,86.7,88.3,64.6,0,0,6.9,85,0,0,0,0,0.27,105.08,30.61,48,1,152.7,88.9,42,29.33,1,89.7,62.8
