"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2024-01-31T23:55:00-08:00,2024-01-31 23:55:00,51.4,51.4,49.2,2.9,3.4,9.2,228,0,0.39,0.38,0.77,5.64,159.41,30.19,92,0,0,75.7,41,28.92,1,74.9,50.3
2024-01-31T23:50:00-08:00,2024-01-31 23:50:00,51.4,51.4,49.2,2.2,2.2,9.2,251,0,0.39,0.38,0.77,5.64,159.41,30.19,92,0,0,75.7,41,28.92,1,74.9,50.3
2024-01-31T23:45:00-08:00,2024-01-31 23:45:00,51.1,51.1,49.1,1.3,2.2,9.2,300,0,0.39,0.38,0.77,5.64,159.41,30.19,93,0,0,75.9,41,28.91,1,75.1,50.5
2024-01-31T23:40:00-08:00,2024-01-31 23:40:00,50.9,50.9,48.9,0,0,9.2,6,0,0.39,0.38,0.77,5.64,159.41,30.19,93,0,0,75.7,42,28.91,1,74.9,51
2024-01-31T23:35:00-08:00,2024-01-31 23:35:00,50.9,50.9,49.2,0.2,1.1,9.2,19,0,0.39,0.38,0.77,5.64,159.41,30.19,94,0,0,75.6,41,28.91,1,74.8,50.2
2024-01-31T23:30:00-08:00,2024-01-31 23:30:00,50.9,50.9,48.9,0,0,9.2,296,0,0.39,0.38,0.77,5.64,159.41,30.19,93,0,0,76.1,41,28.91,1,75.3,50.7
2024-01-31T23:25:00-08:00,2024-01-31 23:25:00,51.1,51.1,49.1,0,0,9.2,310,0,0.39,0.38,0.77,5.64,159.41,30.19,93,0,0,75.9,41,28.91,1,75.1,50.5
2024-01-31T23:20:00-08:00,2024-01-31 23:20:00,51.4,51.4,49.2,0,0,9.2,309,0,0.39,0.38,0.77,5.64,159.41,30.19,92,0,0,75.7,41,28.91,1,74.9,50.3
2024-01-31T23:15:00-08:00,2024-01-31 23:15:00,51.4,51.4,49.2,0,0,9.2,270,0,0.39,0.38,0.77,5.64,159.41,30.19,92,0,0,75.7,41,28.91,1,74.9,50.3
2024-01-31T23:10:00-08:00,2024-01-31 23:10:00,51.3,51.3,49.1,0.2,1.1,9.2,286,0,0.39,0.38,0.77,5.64,159.41,30.19,92,0,0,75.9,41,28.91,1,75.1,50.5
