"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)","CO2 battery"
2024-05-31T23:55:00-07:00,2024-05-31 23:55:00,54,54,43.7,0,0,9.2,200,0,0,0,0.88,3.19,172.63,30.72,68,0,0,79.2,36,29.45,1,78.5,49.9,1
2024-05-31T23:50:00-07:00,2024-05-31 23:50:00,53.8,53.8,43.5,1.3,2.2,9.2,318,0,0,0,0.88,3.19,172.63,30.72,68,0,0,79.3,36,29.44,1,78.6,50,1
2024-05-31T23:45:00-07:00,2024-05-31 23:45:00,54,54,42.9,0.9,2.2,9.2,241,0,0,0,0.88,3.19,172.63,30.72,66,0,0,79.3,36,29.45,1,78.6,50,1
2024-05-31T23:40:00-07:00,2024-05-31 23:40:00,53.6,53.6,42.9,1.8,2.2,9.2,207,0,0,0,0.88,3.19,172.63,30.72,67,0,0,79.3,36,29.45,1,78.6,50,1
2024-05-31T23:35:00-07:00,2024-05-31 23:35:00,53.8,53.8,43.1,2.5,3.4,9.2,170,0,0,0,0.88,3.19,172.63,30.72,67,0,0,79.3,36,29.45,1,78.6,50,1
2024-05-31T23:30:00-07:00,2024-05-31 23:30:00,52.9,52.9,42.2,0.9,1.1,9.2,248,0,0,0,0.88,3.19,172.63,30.72,67,0,0,79.5,36,29.45,1,78.8,50.2,1
2024-05-31T23:25:00-07:00,2024-05-31 23:25:00,52.2,52.2,43.1,0.7,1.1,9.2,189,0,0,0,0.88,3.19,172.63,30.72,71,0,0,79.5,36,29.45,1,78.8,50.2,1
2024-05-31T23:20:00-07:00,2024-05-31 23:20:00,51.4,51.4,42.7,2.5,3.4,9.2,169,0,0,0,0.88,3.19,172.63,30.72,72,0,0,79.5,36,29.45,1,78.8,50.2,1
2024-05-31T23:15:00-07:00,2024-05-31 23:15:00,50.7,50.7,43.1,0.4,1.1,9.2,301,0,0,0,0.88,3.19,172.63,30.72,75,0,0,79.7,36,29.45,1,79.1,50.4,1
2024-05-31T23:10:00-07:00,2024-05-31 23:10:00,50.2,50.2,43.6,0.2,1.1,9.2,68,0,0,0,0.88,3.19,172.63,30.71,78,0,0,79.9,36,29.44,1,79.3,50.5,1
