"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","CO2 battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2024-07-31T23:56:00-07:00,2024-07-31 23:56:00,60.3,60.3,56.7,0,0,6.9,56,0,0,0,0.22,0.38,175.97,30.8,88,0,0,77.7,48,29.52,1,1,77.4,56.4
2024-07-31T23:50:00-07:00,2024-07-31 23:50:00,60.6,60.6,56.7,0,0,6.9,271,0,0,0,0.22,0.38,175.97,30.8,87,0,0,77.7,48,29.52,1,1,77.4,56.4
2024-07-31T23:45:00-07:00,2024-07-31 23:45:00,60.6,60.6,56.7,1.3,2.2,6.9,223,0,0,0,0.22,0.38,175.97,30.8,87,0,0,77.9,48,29.53,1,1,77.6,56.6
2024-07-31T23:40:00-07:00,2024-07-31 23:40:00,61,61,56.8,1.3,2.2,6.9,272,0,0,0,0.22,0.38,175.97,30.81,86,0,0,77.9,48,29.53,1,1,77.6,56.6
2024-07-31T23:36:00-07:00,2024-07-31 23:36:00,61,61,56.8,2.5,3.4,6.9,257,0,0,0,0.22,0.38,175.97,30.8,86,0,0,77.7,48,29.52,1,1,77.4,56.4
2024-07-31T23:30:00-07:00,2024-07-31 23:30:00,61,61,56.8,1.3,2.2,6.9,240,0,0,0,0.22,0.38,175.97,30.81,86,0,0,77.9,48,29.53,1,1,77.6,56.6
2024-07-31T23:25:00-07:00,2024-07-31 23:25:00,60.8,60.8,56.9,2,3.4,6.9,175,0,0,0,0.22,0.38,175.97,30.81,87,0,0,77.9,48,29.53,1,1,77.6,56.6
2024-07-31T23:20:00-07:00,2024-07-31 23:20:00,60.4,60.4,56.5,1.6,2.2,6.9,122,0,0,0,0.22,0.38,175.97,30.81,87,0,0,77.9,48,29.53,1,1,77.6,56.6
2024-07-31T23:16:00-07:00,2024-07-31 23:16:00,60.4,60.4,56.8,0.7,1.1,6.9,222,0,0,0,0.22,0.38,175.97,30.8,88,0,0,77.9,48,29.53,1,1,77.6,56.6
2024-07-31T23:10:00-07:00,2024-07-31 23:10:00,60.6,60.6,56.7,0,0,6.9,244,0,0,0,0.22,0.38,175.97,30.81,87,0,0,78.1,48,29.53,1,1,77.9,56.8
2024-07-31T23:05:00-07:00,2024-07-31 23:05:00,60.3,60.3,56.7,0.7,1.1,6.9,155,0,0,0,0.22,0.38,175.97,30.81,88,0,0,78.1,48,29.53,1,1,77.9,56.8
2024-07-31T23:00:00-07:00,2024-07-31 23:00:00,60.3,60.3,56.7,0,0,6.9,220,0,0,0,0.22,0.38,175.97,30.8,88,0,0,78.1,48,29.53,1,1,77.9,56.8
2024-07-31T22:56:00-07:00,2024-07-31 22:56:00,60.6,60.6,56.7,0,0,6.9,217,0,0,0,0.22,0.38,175.97,30.81,87,0,0,78.4,48,29.53,1,1,78.2,57.1
2024-07-31T22:50:00-07:00,2024-07-31 22:50:00,60.8,60.8,56.9,0,0,6.9,279,0,0,0,0.22,0.38,175.97,30.8,87,0,0,78.3,48,29.53,1,1,78.1,57
2024-07-31T22:45:00-07:00,2024-07-31 22:45:00,61,61,57.1,2.5,3.4,6.9,208,0,0,0,0.22,0.38,175.97,30.81,87,0,0,78.3,48,29.53,1,1,78.1,57
2024-07-31T22:40:00-07:00,2024-07-31 22:40:00,60.8,60.8,56.9,1.3,2.2,6.9,181,0,0,0,0.22,0.38,175.97,30.8,87,0,0,78.3,48,29.52,1,1,78.1,57
2024-07-31T22:36:00-07:00,2024-07-31 22:36:00,61.2,61.2,57,0.7,1.1,6.9,209,0,0,0,0.22,0.38,175.97,30.8,86,0,0,78.3,48,29.52,1,1,78.1,57
2024-07-31T22:30:00-07:00,2024-07-31 22:30:00,61.2,61.2,57,0.9,1.1,6.9,325,0,0,0,0.22,0.38,175.97,30.8,86,0,0,78.4,47,29.53,1,1,78.1,56.5
2024-07-31T22:25:00-07:00,2024-07-31 22:25:00,61.2,61.2,57,0,0,6.9,218,0,0,0,0.22,0.38,175.97,30.81,86,0,0,78.4,47,29.53,1,1,78.1,56.5
2024-07-31T22:20:00-07:00,2024-07-31 22:20:00,61.3,61.3,57.1,0.7,1.1,6.9,232,0,0,0,0.22,0.38,175.97,30.81,86,0,0,78.6,47,29.53,1,1,78.4,56.7
2024-07-31T22:16:00-07:00,2024-07-31 22:16:00,61.5,61.5,57.3,0.9,1.1,6.9,101,0,0,0,0.22,0.38,175.97,30.8,86,0,0,78.6,47,29.53,1,1,78.4,56.7
2024-07-31T22:10:00-07:00,2024-07-31 22:10:00,61.5,61.5,57.3,0.7,1.1,6.9,186,0,0,0,0.22,0.38,175.97,30.81,86,0,0,78.8,47,29.53,1,1,78.6,56.8
2024-07-31T22:05:00-07:00,2024-07-31 22:05:00,61.5,61.5,57.3,1.1,1.1,6.9,179,0,0,0,0.22,0.38,175.97,30.8,86,0,0,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T22:00:00-07:00,2024-07-31 22:00:00,61.2,61.2,57,0.7,1.1,6.9,324,0,0,0,0.22,0.38,175.97,30.81,86,0,0,78.6,47,29.53,1,1,78.4,56.7
2024-07-31T21:55:00-07:00,2024-07-31 21:55:00,61.3,61.3,57.1,0,0,6.9,250,0,0,0,0.22,0.38,175.97,30.81,86,0,0,78.8,47,29.53,1,1,78.6,56.8
2024-07-31T21:50:00-07:00,2024-07-31 21:50:00,61.7,61.7,57.1,0,0,6.9,254,0,0,0,0.22,0.38,175.97,30.8,85,0,0,79,47,29.53,1,1,78.8,57
2024-07-31T21:45:00-07:00,2024-07-31 21:45:00,61.5,61.5,57.3,0.7,1.1,6.9,173,0,0,0,0.22,0.38,175.97,30.8,86,0,0,78.8,47,29.53,1,1,78.6,56.8
2024-07-31T21:40:00-07:00,2024-07-31 21:40:00,61.9,61.9,57.3,1.1,2.2,6.9,234,0,0,0,0.22,0.38,175.97,30.8,85,0,0,79,47,29.52,1,1,78.8,57
2024-07-31T21:35:00-07:00,2024-07-31 21:35:00,62.1,62.1,57.5,0,0,6.9,200,0,0,0,0.22,0.38,175.97,30.8,85,0,0,78.8,47,29.53,1,1,78.6,56.8
2024-07-31T21:30:00-07:00,2024-07-31 21:30:00,62.2,62.2,57.6,1.1,1.1,6.9,118,0,0,0,0.22,0.38,175.97,30.8,85,0,0,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T21:25:00-07:00,2024-07-31 21:25:00,62.2,62.2,57.3,0,0,6.9,202,0,0,0,0.22,0.38,175.97,30.8,84,0,0,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T21:20:00-07:00,2024-07-31 21:20:00,62.4,62.4,57.5,0.2,1.1,6.9,288,0,0,0,0.22,0.38,175.97,30.8,84,0,0,78.8,47,29.53,1,1,78.6,56.8
2024-07-31T21:15:00-07:00,2024-07-31 21:15:00,62.6,62.6,57.7,0.7,2.2,6.9,330,0,0,0,0.22,0.38,175.97,30.8,84,0,0,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T21:10:00-07:00,2024-07-31 21:10:00,62.2,62.2,57.6,0,0,6.9,119,0,0,0,0.22,0.38,175.97,30.79,85,0,0,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T21:05:00-07:00,2024-07-31 21:05:00,62.4,62.4,57.5,0,0,6.9,220,0,0,0,0.22,0.38,175.97,30.8,84,0,0,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T21:00:00-07:00,2024-07-31 21:00:00,62.8,62.8,57.9,0,0,6.9,277,0,0,0,0.22,0.38,175.97,30.8,84,0,0,79,47,29.52,1,1,78.8,57
2024-07-31T20:55:00-07:00,2024-07-31 20:55:00,63,63,57.8,0,0,6.9,278,0,0,0,0.22,0.38,175.97,30.8,83,0,0,79,47,29.52,1,1,78.8,57
2024-07-31T20:50:00-07:00,2024-07-31 20:50:00,63.1,63.1,57.8,0,0,6.9,220,0,0,0,0.22,0.38,175.97,30.79,83,0,0.4,79.2,47,29.52,1,1,79,57.2
2024-07-31T20:45:00-07:00,2024-07-31 20:45:00,63.5,63.5,58.2,0,0,6.9,231,0,0,0,0.22,0.38,175.97,30.8,83,0,1.7,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T20:40:00-07:00,2024-07-31 20:40:00,63.7,63.7,58.1,0,0,6.9,108,0,0,0,0.22,0.38,175.97,30.79,82,0,3.4,79,47,29.52,1,1,78.8,57
2024-07-31T20:35:00-07:00,2024-07-31 20:35:00,64,64,58,0,0,6.9,248,0,0,0,0.22,0.38,175.97,30.79,81,0,4.8,79,47,29.52,1,1,78.8,57
2024-07-31T20:30:00-07:00,2024-07-31 20:30:00,64.6,64.6,58.3,0.9,2.2,6.9,199,0,0,0,0.22,0.38,175.97,30.8,80,0,6,79,47,29.52,1,1,78.8,57
2024-07-31T20:25:00-07:00,2024-07-31 20:25:00,65.1,65.1,58.8,0,0,6.9,199,0,0,0,0.22,0.38,175.97,30.79,80,0,8.6,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T20:20:00-07:00,2024-07-31 20:20:00,65.3,65.3,58.6,0,0,6.9,204,0,0,0,0.22,0.38,175.97,30.8,79,0,11.6,79.2,47,29.52,1,1,79,57.2
2024-07-31T20:15:00-07:00,2024-07-31 20:15:00,65.7,65.7,58.6,0,0,6.9,265,0,0,0,0.22,0.38,175.97,30.8,78,0,13.3,79,47,29.52,1,1,78.8,57
2024-07-31T20:10:00-07:00,2024-07-31 20:10:00,66,66,58.9,0,0,6.9,204,0,0,0,0.22,0.38,175.97,30.79,78,0,15.5,78.6,47,29.52,1,1,78.4,56.7
2024-07-31T20:05:00-07:00,2024-07-31 20:05:00,66.6,66.6,59.2,0,0,6.9,106,0,0,0,0.22,0.38,175.97,30.8,77,0,18.1,78.8,47,29.52,1,1,78.6,56.8
2024-07-31T20:00:00-07:00,2024-07-31 20:00:00,66.9,66.9,59.1,2.5,3.4,6.9,117,0,0,0,0.22,0.38,175.97,30.8,76,0,19.4,78.4,47,29.52,1,1,78.1,56.5
2024-07-31T19:55:00-07:00,2024-07-31 19:55:00,67.6,67.6,59.8,0,0,6.9,236,0,0,0,0.22,0.38,175.97,30.8,76,0,21.2,78.3,47,29.52,1,1,78,56.4
2024-07-31T19:50:00-07:00,2024-07-31 19:50:00,68,68,59.8,0,0,6.9,220,0,0,0,0.22,0.38,175.97,30.8,75,0,22.9,77.7,46,29.53,1,1,77.3,55.2
2024-07-31T19:45:00-07:00,2024-07-31 19:45:00,68.4,68.4,59.8,0,0,6.9,215,0,0,0,0.22,0.38,175.97,30.8,74,0,24.2,77.4,47,29.52,1,1,77,55.6
2024-07-31T19:40:00-07:00,2024-07-31 19:40:00,68.9,68.9,59.9,0,0,6.9,210,0,0,0,0.22,0.38,175.97,30.79,73,0,28.6,77.2,46,29.52,1,1,76.8,54.8
2024-07-31T19:35:00-07:00,2024-07-31 19:35:00,69.4,69.4,60,0.2,1.1,6.9,220,0,0,0,0.22,0.38,175.97,30.8,72,0,37.7,77.2,46,29.52,1,1,76.8,54.8
2024-07-31T19:30:00-07:00,2024-07-31 19:30:00,69.8,69.8,60,0,0,6.9,221,0,0,0,0.22,0.38,175.97,30.8,71,0,41.1,77.7,46,29.52,1,1,77.3,55.2
2024-07-31T19:25:00-07:00,2024-07-31 19:25:00,70.3,70.4,60.4,0.4,1.1,6.9,120,0,0,0,0.22,0.38,175.97,30.8,71,0,35.1,77.5,45,29.52,1,1,77.1,54.5
2024-07-31T19:20:00-07:00,2024-07-31 19:20:00,70.9,71,60.6,0,0,6.9,225,0,0,0,0.22,0.38,175.97,30.79,70,0,69.7,77.7,45,29.52,1,1,77.3,54.6
