"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Rain Rate (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","CO2 battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2025-01-31T23:55:00-08:00,2025-01-31 23:55:00,34.5,34.5,34.2,0.7,1.1,20.6,334,0.14,1.01,0.94,1.04,2.32,199.41,30.6,99,0,0,78.3,32,29.32,1,1,77.3,46
2025-01-31T23:50:00-08:00,2025-01-31 23:50:00,35.1,35.1,34.8,1.3,2.2,20.6,16,0.12,1,0.93,1.03,2.31,199.39,30.6,99,0,0,78.6,32,29.32,1,1,77.7,46.3
2025-01-31T23:45:00-08:00,2025-01-31 23:45:00,35.4,35.4,35.1,1.1,1.1,20.6,32,0.12,0.99,0.92,1.02,2.3,199.38,30.6,99,0,0,78.4,32,29.32,1,1,77.4,46.1
2025-01-31T23:40:00-08:00,2025-01-31 23:40:00,35.8,35.8,35.5,1.1,1.1,20.6,359,0.12,0.98,0.91,1.01,2.29,199.37,30.59,99,0,0,78.6,32,29.32,1,1,77.7,46.3
2025-01-31T23:35:00-08:00,2025-01-31 23:35:00,35.8,35.8,35.5,0,0,20.6,357,0.12,0.97,0.9,1,2.28,199.36,30.59,99,0,0,78.6,31,29.32,1,1,77.6,45.4
2025-01-31T23:30:00-08:00,2025-01-31 23:30:00,35.6,35.6,35.3,0,0,20.6,9,0.19,0.96,0.89,0.99,2.27,199.35,30.58,99,0,0,78.6,32,29.3,1,1,77.7,46.3
2025-01-31T23:25:00-08:00,2025-01-31 23:25:00,35.4,35.4,35.1,0,0,20.6,352,0.24,0.95,0.88,0.98,2.26,199.34,30.58,99,0,0,78.6,32,29.3,1,1,77.7,46.3
2025-01-31T23:20:00-08:00,2025-01-31 23:20:00,35.8,35.8,35.5,0.9,1.1,20.6,40,0.17,0.93,0.86,0.96,2.24,199.32,30.58,99,0,0,78.8,32,29.3,1,1,77.9,46.4
2025-01-31T23:15:00-08:00,2025-01-31 23:15:00,35.6,35.6,35.3,0,0,20.6,353,0.26,0.92,0.85,0.95,2.23,199.31,30.57,99,0,0,78.6,32,29.29,1,1,77.7,46.3
2025-01-31T23:10:00-08:00,2025-01-31 23:10:00,35.8,35.8,35.5,0,0,20.6,334,0.31,0.9,0.83,0.93,2.21,199.29,30.56,99,0,0,78.8,32,29.29,1,1,77.9,46.4
2025-01-31T23:05:00-08:00,2025-01-31 23:05:00,35.8,35.8,35.5,0.4,1.1,20.6,27,0.28,0.88,0.81,0.91,2.19,199.27,30.56,99,0,0,79,32,29.28,1,1,78.1,46.6
2025-01-31T23:00:00-08:00,2025-01-31 23:00:00,35.8,35.8,35.5,0.7,1.1,20.6,3,0.35,0.86,0.79,0.89,2.17,199.25,30.55,99,0,0,78.8,32,29.28,1,1,77.9,46.4
2025-01-31T22:55:00-08:00,2025-01-31 22:55:00,35.8,35.8,35.5,0,0,20.6,3,0.31,0.83,0.76,0.86,2.14,199.22,30.55,99,0,0,78.8,32,29.27,1,1,77.9,46.4
2025-01-31T22:50:00-08:00,2025-01-31 22:50:00,35.8,35.8,35.5,0,0,20.6,338,0.31,0.8,0.73,0.83,2.11,199.19,30.55,99,0,0,78.8,32,29.27,1,1,77.9,46.4
