Date,6miOutdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Event Rain,Daily Rain,Weekly Rain,Monthly Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation,Indoor Temperature,Indoor Humidity,Absolute Pressure,6miOutdoor Battery,Indoor Feels Like,Indoor Dew Point
2021-09-30T23:55:00-07:00,51.4,51.4,51.1,0.2,1.1,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.02,99,0,0,75.6,45,29.75,1,75,52.7
2021-09-30T23:50:00-07:00,51.4,51.4,51.1,0.4,1.1,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.02,99,0,0,75.6,45,29.75,1,75,52.7
2021-09-30T23:46:00-07:00,51.3,51.3,51,0,0,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.01,99,0,0,75.4,45,29.74,1,74.8,52.6
2021-09-30T23:40:00-07:00,51.1,51.1,50.8,0,0,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.02,99,0,0,75.4,45,29.74,1,74.8,52.6
2021-09-30T23:36:00-07:00,51.3,51.3,51,0,0,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.01,99,0,0,75.6,45,29.74,1,75,52.7
2021-09-30T23:30:00-07:00,51.4,51.4,51.1,0.4,1.1,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.01,99,0,0,75.6,45,29.74,1,75,52.7
2021-09-30T23:25:00-07:00,51.3,51.3,51,0.2,1.1,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.02,99,0,0,75.6,45,29.74,1,75,52.7
2021-09-30T23:21:00-07:00,51.3,51.3,51,0,0,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.02,99,0,0,75.6,45,29.74,1,75,52.7
2021-09-30T23:15:00-07:00,51.3,51.3,51,0,0,19.5,344,0,2.76,1.09,2.76,4.9,59.61,31.01,99,0,0,75.6,46,29.74,1,75,53.3
2021-09-30T23:11:00-07:00,51.1,51.1,50.8,0,0,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31.01,99,0,0,75.7,45,29.73,1,75.1,52.8
2021-09-30T23:06:00-07:00,51.1,51.1,50.8,0,0,19.5,345,0,2.76,1.09,2.76,4.9,59.61,31,99,0,0,75.6,45,29.73,1,75,52.7
