Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Absolute Pressure (inHg),Outdoor Battery,Indoor Feels Like (°F),Indoor Dew Point (°F)
2022-03-31T23:55:00-07:00,2022-03-31 23:55:00,43,43,41.1,0,0,11.4,27,0,0.25,0,0.36,7.12,89.93,30.9,93,0,0,78.3,34,29.62,1,77.4,47.6
2022-03-31T23:50:00-07:00,2022-03-31 23:50:00,42.8,42.8,40.9,0,0,11.4,27,0,0.25,0,0.36,7.12,89.93,30.9,93,0,0,78.4,34,29.63,1,77.5,47.7
2022-03-31T23:45:00-07:00,2022-03-31 23:45:00,42.6,42.6,40.7,0,0,11.4,27,0,0.25,0,0.36,7.12,89.93,30.9,93,0,0,78.4,34,29.62,1,77.5,47.7
2022-03-31T23:40:00-07:00,2022-03-31 23:40:00,42.6,42.6,40.4,0,0,11.4,27,0,0.25,0,0.36,7.12,89.93,30.89,92,0,0,78.4,34,29.61,1,77.5,47.7
2022-03-31T23:35:00-07:00,2022-03-31 23:35:00,42.6,42.6,40.4,0,0,11.4,27,0,0.25,0,0.36,7.12,89.93,30.89,92,0,0,78.4,34,29.62,1,77.5,47.7
2022-03-31T23:30:00-07:00,2022-03-31 23:30:00,42.6,42.6,40.4,0,0,11.4,28,0,0.25,0,0.36,7.12,89.93,30.89,92,0,0,78.4,34,29.62,1,77.5,47.7
2022-03-31T23:25:00-07:00,2022-03-31 23:25:00,42.8,42.8,40.6,0,0,11.4,28,0,0.25,0,0.36,7.12,89.93,30.9,92,0,0,78.4,34,29.63,1,77.5,47.7
2022-03-31T23:20:00-07:00,2022-03-31 23:20:00,43,43,40.6,0,0,11.4,28,0,0.25,0,0.36,7.12,89.93,30.9,91,0,0,78.4,34,29.63,1,77.5,47.7
2022-03-31T23:15:00-07:00,2022-03-31 23:15:00,43,43,40.6,0,0,11.4,28,0,0.25,0,0.36,7.12,89.93,30.9,91,0,0,78.6,34,29.63,1,77.8,47.9
2022-03-31T23:10:00-07:00,2022-03-31 23:10:00,42.8,42.8,40.4,0,0,11.4,358,0,0.25,0,0.36,7.12,89.93,30.9,91,0,0,78.6,34,29.63,1,77.8,47.9
2022-03-31T23:05:00-07:00,2022-03-31 23:05:00,43,43,40.3,0,0,11.4,358,0,0.25,0,0.36,7.12,89.93,30.89,90,0,0,78.8,34,29.62,1,78,48
2022-03-31T23:00:00-07:00,2022-03-31 23:00:00,43,43,40.3,0,0,11.4,358,0,0.25,0,0.36,7.12,89.93,30.89,90,0,0,78.8,34,29.62,1,78,48
2022-03-31T22:55:00-07:00,2022-03-31 22:55:00,43,43,40.3,0,0,11.4,358,0,0.25,0,0.36,7.12,89.93,30.89,90,0,0,78.8,33,29.62,1,77.9,47.2
2022-03-31T22:50:00-07:00,2022-03-31 22:50:00,43.2,43.2,40.2,0,0,11.4,358,0,0.25,0,0.36,7.12,89.93,30.89,89,0,0,78.8,33,29.62,1,77.9,47.2
2022-03-31T22:45:00-07:00,2022-03-31 22:45:00,43.2,43.2,40.2,0,0,11.4,358,0,0.25,0,0.36,7.12,89.93,30.89,89,0,0,79.2,33,29.62,1,78.4,47.6
2022-03-31T22:40:00-07:00,2022-03-31 22:40:00,43.3,43.3,40.3,0,0,11.4,358,0,0.25,0,0.36,7.12,89.93,30.89,89,0,0,79.2,33,29.61,1,78.4,47.6
2022-03-31T22:35:00-07:00,2022-03-31 22:35:00,43.5,43.5,40.5,0.2,1.1,11.4,359,0,0.25,0,0.36,7.12,89.93,30.9,89,0,0,79.2,33,29.62,1,78.4,47.6
2022-03-31T22:30:00-07:00,2022-03-31 22:30:00,43.5,43.5,40.5,0,0,11.4,347,0,0.25,0,0.36,7.12,89.93,30.89,89,0,0,79.2,33,29.62,1,78.4,47.6
2022-03-31T22:25:00-07:00,2022-03-31 22:25:00,43.5,43.5,40.2,0,0,11.4,346,0,0.25,0,0.36,7.12,89.93,30.89,88,0,0,79.5,33,29.61,1,78.7,47.9
2022-03-31T22:20:00-07:00,2022-03-31 22:20:00,43.5,43.5,40.2,0,0,11.4,11,0,0.25,0,0.36,7.12,89.93,30.89,88,0,0,79.3,33,29.62,1,78.5,47.7
2022-03-31T22:15:00-07:00,2022-03-31 22:15:00,43.7,43.7,40.4,0.9,1.1,11.4,11,0,0.25,0,0.36,7.12,89.93,30.89,88,0,0,79.5,33,29.62,1,78.7,47.9
2022-03-31T22:10:00-07:00,2022-03-31 22:10:00,43.7,43.7,40.4,0.7,1.1,11.4,10,0,0.25,0,0.36,7.12,89.93,30.9,88,0,0,79.5,33,29.63,1,78.7,47.9
2022-03-31T22:05:00-07:00,2022-03-31 22:05:00,43.5,43.5,39.9,0,0,11.4,8,0,0.25,0,0.36,7.12,89.93,30.9,87,0,0,79.3,33,29.63,1,78.5,47.7
2022-03-31T22:00:00-07:00,2022-03-31 22:00:00,43.5,43.5,39.9,1.1,1.1,11.4,9,0,0.25,0,0.36,7.12,89.93,30.9,87,0,0,79.5,33,29.62,1,78.7,47.9
2022-03-31T21:55:00-07:00,2022-03-31 21:55:00,43.3,43.3,40,0,0,11.4,8,0,0.25,0,0.36,7.12,89.93,30.9,88,0,0,79.3,33,29.62,1,78.5,47.7
2022-03-31T21:50:00-07:00,2022-03-31 21:50:00,43,43,40,0,0,11.4,8,0,0.25,0,0.36,7.12,89.93,30.89,89,0,0,79.5,33,29.61,1,78.7,47.9
2022-03-31T21:45:00-07:00,2022-03-31 21:45:00,42.8,42.8,40.1,0,0,11.4,7,0,0.25,0,0.36,7.12,89.93,30.9,90,0,0,79.5,33,29.63,1,78.7,47.9
2022-03-31T21:40:00-07:00,2022-03-31 21:40:00,42.6,42.6,39.6,0.7,1.1,11.4,7,0,0.25,0,0.36,7.12,89.93,30.9,89,0,0,79.5,33,29.62,1,78.7,47.9
2022-03-31T21:35:00-07:00,2022-03-31 21:35:00,42.4,42.4,39.4,0,0,11.4,8,0,0.25,0,0.36,7.12,89.93,30.9,89,0,0,79.7,33,29.62,1,78.9,48
2022-03-31T21:30:00-07:00,2022-03-31 21:30:00,42.4,42.4,39.4,0,0,11.4,7,0,0.25,0,0.36,7.12,89.93,30.89,89,0,0,79.5,33,29.62,1,78.7,47.9
2022-03-31T21:25:00-07:00,2022-03-31 21:25:00,42.6,42.6,39.6,0,0,11.4,7,0,0.25,0,0.36,7.12,89.93,30.89,89,0,0,79.7,33,29.62,1,78.9,48
2022-03-31T21:20:00-07:00,2022-03-31 21:20:00,42.8,42.8,39.5,0,0,11.4,7,0,0.25,0,0.36,7.12,89.93,30.89,88,0,0,80.1,33,29.62,1,79.5,48.4
2022-03-31T21:15:00-07:00,2022-03-31 21:15:00,42.8,42.8,39.2,0,0,11.4,7,0,0.25,0,0.36,7.12,89.93,30.89,87,0,0,79.9,33,29.62,1,79.1,48.2
