,Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Event Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Indoor Feels Like (°F),Indoor Dew Point (°F),Absolute Pressure (inHg)
Average,2022-05-30,50.9,50.9,46.9,0.6,0.9,7.8,N,0,0.04,0.7,7.61,0.85,101.42,30.91,87,1,131.5,76.9,38,76.1,49.9,29.63
High,2022-05-30,60.6,60.6,50.9,6.3,9.2,11.4,,0.07,0.05,0.74,7.95,0.86,101.42,30.96,99,7,779,81.5,42,80.5,52.3,29.69
High Datetime,2022-05-30,2022-05-30T16:24:00-07:00,2022-05-30T16:24:00-07:00,2022-05-30T16:11:00-07:00,2022-05-30T14:27:00-07:00,2022-05-30T14:27:00-07:00,2022-05-30T10:29:00-07:00,,2022-05-30T03:55:00-07:00,2022-05-30T05:25:00-07:00,2022-05-30T05:25:00-07:00,2022-05-30T05:25:00-07:00,2022-05-30T05:25:00-07:00,2022-05-30T05:25:00-07:00,2022-05-30T21:32:00-07:00,2022-05-30T01:07:00-07:00,2022-05-30T14:25:00-07:00,2022-05-30T16:20:00-07:00,2022-05-30T18:04:00-07:00,2022-05-30T00:00:00-07:00,2022-05-30T18:04:00-07:00,2022-05-30T16:18:00-07:00,2022-05-30T21:32:00-07:00
Low,2022-05-30,45.9,45.9,44.4,0,0,0,,0,0,0,0,0.81,101.37,30.83,63,0,0,73.6,34,72.5,47.8,29.55
Low Datetime,2022-05-30,2022-05-30T04:27:00-07:00,2022-05-30T04:27:00-07:00,2022-05-30T23:57:00-07:00,2022-05-30T01:00:00-07:00,2022-05-30T01:00:00-07:00,2022-05-30T00:00:00-07:00,,2022-05-30T01:00:00-07:00,2022-05-30T01:00:00-07:00,2022-05-30T00:00:00-07:00,2022-05-30T00:00:00-07:00,2022-05-30T01:00:00-07:00,2022-05-30T01:00:00-07:00,2022-05-30T00:09:00-07:00,2022-05-30T16:43:00-07:00,2022-05-30T01:00:00-07:00,2022-05-30T01:00:00-07:00,2022-05-30T05:06:00-07:00,2022-05-30T18:04:00-07:00,2022-05-30T05:06:00-07:00,2022-05-30T05:06:00-07:00,2022-05-30T00:09:00-07:00
Average,2022-05-29,49.3,49.3,47.5,1.1,1.6,12.4,SSW,0.03,0.48,0.48,7.38,0.61,101.17,30.68,93,0,89.5,76.4,39,75.5,49.6,29.41
High,2022-05-29,54.9,54.9,50.5,11.6,14.8,19.5,,0.38,0.69,0.69,7.9,0.81,101.37,30.84,99,4,461.1,78.8,43,78.2,52.4,29.57
High Datetime,2022-05-29,2022-05-29T14:33:00-07:00,2022-05-29T14:33:00-07:00,2022-05-29T12:13:00-07:00,2022-05-29T15:01:00-07:00,2022-05-29T13:53:00-07:00,2022-05-29T15:01:00-07:00,,2022-05-29T08:03:00-07:00,2022-05-29T23:26:00-07:00,2022-05-29T23:26:00-07:00,2022-05-29T23:26:00-07:00,2022-05-29T23:26:00-07:00,2022-05-29T23:26:00-07:00,2022-05-29T23:41:00-07:00,2022-05-29T02:48:00-07:00,2022-05-29T11:21:00-07:00,2022-05-29T11:23:00-07:00,2022-05-29T14:56:00-07:00,2022-05-29T22:22:00-07:00,2022-05-29T14:56:00-07:00,2022-05-29T22:22:00-07:00,2022-05-29T23:41:00-07:00
Low,2022-05-29,46.2,46.2,44.9,0,0,2.2,,0,0,0,0,0.12,100.69,30.5,74,0,0,73.9,37,72.8,46.7,29.22
Low Datetime,2022-05-29,2022-05-29T22:54:00-07:00,2022-05-29T17:23:00-07:00,2022-05-29T16:11:00-07:00,2022-05-29T01:06:00-07:00,2022-05-29T01:06:00-07:00,2022-05-29T00:00:00-07:00,,2022-05-29T01:04:00-07:00,2022-05-29T00:00:00-07:00,2022-05-29T00:00:00-07:00,2022-05-29T00:00:00-07:00,2022-05-29T00:00:00-07:00,2022-05-29T00:00:00-07:00,2022-05-29T00:03:00-07:00,2022-05-29T15:03:00-07:00,2022-05-29T01:00:00-07:00,2022-05-29T01:00:00-07:00,2022-05-29T04:56:00-07:00,2022-05-29T16:35:00-07:00,2022-05-29T04:56:00-07:00,2022-05-29T04:56:00-07:00,2022-05-29T00:03:00-07:00
Average,2022-05-28,50.6,50.6,47.9,1.4,2,7.8,WSW,0.01,0.04,0.28,6.81,0.03,100.58,30.54,90,0,103.6,76.6,36,75.6,48.1,29.26
High,2022-05-28,58.1,58.1,51.4,8.1,10.3,11.4,,0.12,0.14,0.39,7.21,0.12,100.69,30.68,97,7,794.2,78.4,39,77.7,50.9,29.41
High Datetime,2022-05-28,2022-05-28T14:07:00-07:00,2022-05-28T14:07:00-07:00,2022-05-28T11:52:00-07:00,2022-05-28T16:25:00-07:00,2022-05-28T14:03:00-07:00,2022-05-28T22:54:00-07:00,,2022-05-28T17:13:00-07:00,2022-05-28T23:57:00-07:00,2022-05-28T23:57:00-07:00,2022-05-28T23:57:00-07:00,2022-05-28T23:57:00-07:00,2022-05-28T23:57:00-07:00,2022-05-28T00:01:00-07:00,2022-05-28T21:52:00-07:00,2022-05-28T13:49:00-07:00,2022-05-28T13:49:00-07:00,2022-05-28T16:46:00-07:00,2022-05-28T20:22:00-07:00,2022-05-28T16:52:00-07:00,2022-05-28T21:34:00-07:00,2022-05-28T00:01:00-07:00
Low,2022-05-28,46.8,44.7,45.4,0,0,1.1,,0,0,0,0,0,100.54,30.44,70,0,0,74.1,35,72.9,45.4,29.16
Low Datetime,2022-05-28,2022-05-28T05:16:00-07:00,2022-05-28T21:59:00-07:00,2022-05-28T05:16:00-07:00,2022-05-28T01:06:00-07:00,2022-05-28T01:06:00-07:00,2022-05-28T00:00:00-07:00,,2022-05-28T01:00:00-07:00,2022-05-28T01:00:00-07:00,2022-05-28T00:00:00-07:00,2022-05-28T00:00:00-07:00,2022-05-28T01:00:00-07:00,2022-05-28T01:00:00-07:00,2022-05-28T17:39:00-07:00,2022-05-28T14:38:00-07:00,2022-05-28T01:00:00-07:00,2022-05-28T01:00:00-07:00,2022-05-28T08:12:00-07:00,2022-05-28T00:02:00-07:00,2022-05-28T08:12:00-07:00,2022-05-28T08:12:00-07:00,2022-05-28T17:39:00-07:00
Average,2022-05-27,54.3,54.3,48.4,4.1,5.9,25.1,WSW,0,0.02,0.24,6.82,0.16,100.54,30.64,81,1,196.5,77.2,38,76.3,49.6,29.37
High,2022-05-27,62.1,62.1,54.8,17.2,30.9,30.9,,0.07,0.02,0.25,7.07,0.18,100.54,30.7,96,8,832.9,82.8,43,81.6,52.3,29.43
High Datetime,2022-05-27,2022-05-27T15:20:00-07:00,2022-05-27T15:20:00-07:00,2022-05-27T00:21:00-07:00,2022-05-27T11:33:00-07:00,2022-05-27T11:33:00-07:00,2022-05-27T11:31:00-07:00,,2022-05-27T01:00:00-07:00,2022-05-27T02:41:00-07:00,2022-05-27T02:41:00-07:00,2022-05-27T02:41:00-07:00,2022-05-27T02:41:00-07:00,2022-05-27T02:41:00-07:00,2022-05-27T13:30:00-07:00,2022-05-27T01:08:00-07:00,2022-05-27T13:48:00-07:00,2022-05-27T14:22:00-07:00,2022-05-27T18:04:00-07:00,2022-05-27T01:00:00-07:00,2022-05-27T18:04:00-07:00,2022-05-27T18:04:00-07:00,2022-05-27T13:30:00-07:00
Low,2022-05-27,50.2,50.2,44.1,0,0,4.5,,0,0,0,0,0,100.52,30.52,64,0,0,73.2,35,72.2,47.2,29.24
