Date,Outdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Event Rain,Daily Rain,Weekly Rain,Monthly Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation,Indoor Temperature,Indoor Humidity,Absolute Pressure,Outdoor Battery,Indoor Feels Like,Indoor Dew Point
2021-01-31T23:55:00-08:00,42.6,42.6,42.3,0.2,1.1,15.9,306,0,1.07,0.65,0.65,8.52,41.2,30.61,99,0,0,75.9,38,29.34,1,75,48.5
2021-01-31T23:50:00-08:00,42.6,42.6,42.3,0,0,15.9,306,0.07,1.07,0.65,0.65,8.52,41.2,30.62,99,0,0,75.9,38,29.34,1,75,48.5
2021-01-31T23:45:00-08:00,42.6,42.6,42.3,0,0,15.9,306,0.07,1.07,0.65,0.65,8.52,41.2,30.62,99,0,0,75.9,38,29.34,1,75,48.5
2021-01-31T23:40:00-08:00,42.6,42.6,42.3,0,0,15.9,306,0,1.06,0.64,0.64,8.51,41.19,30.62,99,0,0,75.7,38,29.34,1,74.8,48.3
2021-01-31T23:35:00-08:00,42.6,42.6,42.3,0,0,15.9,306,0,1.06,0.64,0.64,8.51,41.19,30.62,99,0,0,75.6,38,29.34,1,74.6,48.2
2021-01-31T23:30:00-08:00,42.6,42.6,42.3,0,0,15.9,306,0.05,1.06,0.64,0.64,8.51,41.19,30.62,99,0,0,75.4,39,29.34,1,74.5,48.7
2021-01-31T23:25:00-08:00,42.6,42.6,42.3,0,0,15.9,306,0.05,1.06,0.64,0.64,8.51,41.19,30.62,99,0,0,75.4,39,29.34,1,74.5,48.7
2021-01-31T23:20:00-08:00,42.8,42.8,42.5,0.2,1.1,15.9,306,0.07,1.05,0.63,0.63,8.5,41.19,30.62,99,0,0,75.2,39,29.35,1,74.3,48.5
2021-01-31T23:15:00-08:00,42.8,42.8,42.5,0.2,1.1,15.9,306,0.07,1.05,0.63,0.63,8.5,41.19,30.62,99,0,0,75,39,29.35,1,74,48.3
2021-01-31T23:10:00-08:00,42.8,42.8,42.5,0.4,1.1,15.9,306,0,1.04,0.62,0.62,8.49,41.17,30.64,99,0,0,75.2,39,29.36,1,74.3,48.5
