Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Absolute Pressure (inHg),Outdoor Battery,Indoor Feels Like (°F),Indoor Dew Point (°F)
2022-06-30T23:55:00-07:00,2022-06-30 23:55:00,58.5,58.5,52.4,0,0,9.2,246,0,0,0,0,3.38,104.8,30.82,80,0,0,77.2,43,29.54,1,76.6,52.9
2022-06-30T23:50:00-07:00,2022-06-30 23:50:00,58.5,58.5,52.4,1.1,1.1,9.2,164,0,0,0,0,3.38,104.8,30.82,80,0,0,77,43,29.54,1,76.4,52.8
2022-06-30T23:45:00-07:00,2022-06-30 23:45:00,58.6,58.6,52.4,0.7,1.1,9.2,233,0,0,0,0,3.38,104.8,30.81,80,0,0,77.2,43,29.53,1,76.6,52.9
2022-06-30T23:40:00-07:00,2022-06-30 23:40:00,58.6,58.6,52.1,1.6,2.2,9.2,211,0,0,0,0,3.38,104.8,30.82,79,0,0,77.2,43,29.54,1,76.6,52.9
2022-06-30T23:35:00-07:00,2022-06-30 23:35:00,58.8,58.8,52.3,1.3,2.2,9.2,223,0,0,0,0,3.38,104.8,30.82,79,0,0,77.4,43,29.54,1,76.9,53.1
2022-06-30T23:30:00-07:00,2022-06-30 23:30:00,59,59,52.1,1.8,2.2,9.2,237,0,0,0,0,3.38,104.8,30.81,78,0,0,77.2,43,29.53,1,76.6,52.9
2022-06-30T23:25:00-07:00,2022-06-30 23:25:00,59.2,59.2,52.3,0.2,1.1,9.2,69,0,0,0,0,3.38,104.8,30.81,78,0,0,77.4,43,29.53,1,76.9,53.1
2022-06-30T23:20:00-07:00,2022-06-30 23:20:00,59.2,59.2,52.3,1.8,2.2,9.2,196,0,0,0,0,3.38,104.8,30.82,78,0,0,77.5,43,29.54,1,77,53.2
2022-06-30T23:15:00-07:00,2022-06-30 23:15:00,59.2,59.2,52.3,1.6,2.2,9.2,114,0,0,0,0,3.38,104.8,30.82,78,0,0,77.4,42,29.54,1,76.8,52.5
2022-06-30T23:10:00-07:00,2022-06-30 23:10:00,59.2,59.2,52.3,0.9,1.1,9.2,182,0,0,0,0,3.38,104.8,30.82,78,0,0,77.4,42,29.54,1,76.8,52.5
2022-06-30T23:05:00-07:00,2022-06-30 23:05:00,59,59,52.1,2.9,3.4,9.2,253,0,0,0,0,3.38,104.8,30.82,78,0,0,77.4,42,29.55,1,76.8,52.5
2022-06-30T23:00:00-07:00,2022-06-30 23:00:00,59.2,59.2,52.3,1.6,2.2,9.2,191,0,0,0,0,3.38,104.8,30.82,78,0,0,77.5,42,29.54,1,76.9,52.6
2022-06-30T22:55:00-07:00,2022-06-30 22:55:00,59.2,59.2,52,2.9,3.4,9.2,182,0,0,0,0,3.38,104.8,30.82,77,0,0,77.5,42,29.55,1,76.9,52.6
2022-06-30T22:50:00-07:00,2022-06-30 22:50:00,59.2,59.2,52,0.9,1.1,9.2,130,0,0,0,0,3.38,104.8,30.82,77,0,0,77.7,42,29.55,1,77.1,52.8
2022-06-30T22:45:00-07:00,2022-06-30 22:45:00,59,59,51.8,2.5,3.4,9.2,227,0,0,0,0,3.38,104.8,30.82,77,0,0,77.9,42,29.55,1,77.4,52.9
2022-06-30T22:40:00-07:00,2022-06-30 22:40:00,59,59,51.4,0.4,1.1,9.2,177,0,0,0,0,3.38,104.8,30.82,76,0,0,77.7,42,29.54,1,77.1,52.8
2022-06-30T22:35:00-07:00,2022-06-30 22:35:00,59,59,51.8,0.9,1.1,9.2,180,0,0,0,0,3.38,104.8,30.82,77,0,0,77.7,42,29.55,1,77.1,52.8
2022-06-30T22:30:00-07:00,2022-06-30 22:30:00,59.2,59.2,51.6,0.2,1.1,9.2,167,0,0,0,0,3.38,104.8,30.82,76,0,0,78.1,42,29.54,1,77.6,53.1
